model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_cn,num_layer,l1_loss_lambda,num_channel

mlp,percolate-plus,0.07520529627799988,0.005800521466881037,1.0,0.9783999999999999,0.9760000000000001,8,33,10,0.8995000000000001,0.013006408676751126,0.9040000000000001,0.01468181036369684,0.9730000000000001,0.00685208808401578,0.9685,0.006065018091023699,0,3,0.001,64

mlp,percolate-plus,0.11004552245140076,0.028056245297193527,0.9999666666666667,0.9587000000000001,0.8875,1,17,10,0.852,0.03409138046812161,0.7925,0.02163459164291195,0.92892,0.022090359888421913,0.88055,0.01444685663619137,1,3,0.001,64

mlp,percolate-plus,0.24878501892089844,0.18772529065608978,0.9757666666666667,0.8351000000000001,0.7919,7,13,10,0.7325,0.01798919428743577,0.7354999999999999,0.028131635019829373,0.8101800000000001,0.014364678903477123,0.8134599999999998,0.02049309910948343,2,3,0.001,64

mlp,percolate-plus,0.06164826825261116,0.0021012306679040194,1.0,0.7897000000000001,0.7424000000000001,8,50,10,0.6849999999999999,0.03605551275463987,0.651,0.02846049894151542,0.74132,0.04156774390477956,0.69532,0.029801260226894968,3,3,0.001,64

mlp,percolate-plus,0.45723897218704224,0.3888520300388336,0.9996,0.7679,0.7026,1,30,10,0.6805000000000001,0.01877498335551857,0.626,0.029230881691191698,0.74281,0.016659561818967494,0.6825000000000001,0.03762257005811509,4,3,0.001,64

mlp,percolate-plus,0.12171955406665802,0.05023328587412834,0.9957555555555555,0.665,0.6496,4,23,10,0.589,0.04267447845154186,0.5745000000000001,0.03989221589344076,0.6364599999999999,0.03235092991965868,0.6131399999999999,0.04013225912183639,5,3,0.001,64

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_cn,num_layer,l1_loss_lambda,num_channel

mlp,percolate-plus,0.07520529627799988,0.005800521466881037,1.0,0.9783999999999999,0.9760000000000001,8,33,10,0.8995000000000001,0.013006408676751126,0.9040000000000001,0.01468181036369684,0.9730000000000001,0.00685208808401578,0.9685,0.006065018091023699,0,3,0.001,64

mlp,percolate-plus,0.11004552245140076,0.028056245297193527,0.9999666666666667,0.9587000000000001,0.8875,1,17,10,0.852,0.03409138046812161,0.7925,0.02163459164291195,0.92892,0.022090359888421913,0.88055,0.01444685663619137,1,3,0.001,64

mlp,percolate-plus,0.24878501892089844,0.18772529065608978,0.9757666666666667,0.8351000000000001,0.7919,7,13,10,0.7325,0.01798919428743577,0.7354999999999999,0.028131635019829373,0.8101800000000001,0.014364678903477123,0.8134599999999998,0.02049309910948343,2,3,0.001,64

mlp,percolate-plus,0.06164826825261116,0.0021012306679040194,1.0,0.7897000000000001,0.7424000000000001,8,50,10,0.6849999999999999,0.03605551275463987,0.651,0.02846049894151542,0.74132,0.04156774390477956,0.69532,0.029801260226894968,3,3,0.001,64

mlp,percolate-plus,0.45723897218704224,0.3888520300388336,0.9996,0.7679,0.7026,1,30,10,0.6805000000000001,0.01877498335551857,0.626,0.029230881691191698,0.74281,0.016659561818967494,0.6825000000000001,0.03762257005811509,4,3,0.001,64

mlp,percolate-plus,0.12171955406665802,0.05023328587412834,0.9957555555555555,0.665,0.6496,4,23,10,0.589,0.04267447845154186,0.5745000000000001,0.03989221589344076,0.6364599999999999,0.03235092991965868,0.6131399999999999,0.04013225912183639,5,3,0.001,64

mlp,percolate-plus,0.17417395114898682,0.10785839706659317,0.9775,0.6451,0.6624000000000001,4,31,10,0.5535,0.015820169966779013,0.5695,0.0294816327001519,0.5913999999999999,0.03605033518105852,0.6115099999999999,0.04081923430061969,6,3,0.001,64

